zone_id,n,med_excess,wx,wy,dens,logdens,resid
Zone_DH093,322,0.0626664051705566,229592.53590062112,2623852.680931677,2.15,0.7654678421395714,-0.0011984942738369336
Zone_DH094,365,0.0987820707378281,229587.9183561644,2625791.021780822,5.963,1.7855737101409688,-0.04842696462282112
Zone_DH095,367,0.2313899186091193,229638.45547683924,2627835.04253406,11.637,2.4541896771259397,0.02955398443712262
Zone_DH096,400,0.08513129116320865,229661.48,2629818.83,14.312,2.661098346206418,-0.13360938278043627
Zone_DH097,356,0.1716570927350778,229744.34516853935,2631846.638988764,15.412,2.735146426763911,-0.05313341729314214
Zone_DH098,373,0.2527885827647719,229722.47195710457,2633776.8728954424,16.9,2.8273136219290276,0.02046787858532001
Zone_DH099,333,0.116718547258251,229808.47699699702,2635836.998168168,12.375,2.515678308454754,-0.0901410976946803
Zone_DH100,294,0.1559538790710072,229873.04462585037,2637728.0136734694,6.725,1.9058319254879028,-0.00108042772402564
Zone_DH101,208,-0.10941696192260009,229653.7876923077,2639919.3107692306,2.788,1.0253244928982774,-0.1945125283976698
Zone_DH102,282,0.1824798483891032,229807.57929078015,2641916.702340426,4.044,1.397234301158225,0.06699870863139533
Zone_DH103,211,0.1071236096225997,229434.70274881518,2643589.209146919,3.069,1.121351775637599,0.014182474216557245
Zone_DH104,112,-0.3212449321147888,229657.9085714286,2645293.8300000005,1.4,0.3364722366212129,-0.35006026545498115
Zone_DH105,147,-0.3028922739356337,229918.28272108844,2647678.353809524,0.894,-0.11204950380862289,-0.29506272749583
Zone_DH108,174,0.18030870512721875,231615.50298850576,2618369.404712644,0.85,-0.16251892949777494,0.19226167718998566
Zone_DH109,334,0.04193119487488895,231727.9470658683,2619775.716227545,1.587,0.461845441544272,0.0028726879983693512
Zone_DH110,279,-0.0478642103907177,231753.0570609319,2621902.5217562728,2.381,0.8675205675047256,-0.1200669662089029
Zone_DH111,384,0.13494564371284928,231695.855,2623835.23625,8.419,2.130491056355527,-0.040443641447854006
Zone_DH112,394,0.2295597205613338,231675.69319796955,2625824.413756345,13.169,2.577865582728083,0.01761928468083704
Zone_DH113,400,0.2502299851611838,231661.48,2627818.83,14.588,2.680199272946434,0.029928737668966587
Zone_DH114,400,0.30335868591961845,231661.48,2629818.83,16.431,2.799169794469694,0.07333737345484215
Zone_DH115,400,0.22599018300125084,231661.48,2631818.83,18.006,2.890705035686285,-0.01150969205627822
Zone_DH116,400,0.2219346021749437,231661.48,2633818.83,23.262,3.146821127916847,-0.036490330830761974
Zone_DH117,400,0.2792597110805715,231661.48,2635818.83,22.613,3.118524962140857,0.02314661605199997
Zone_DH118,400,0.27583329235395626,231661.48,2637818.83,15.213,2.7221503254809916,0.05210458273849855
Zone_DH119,358,0.32090520523095134,231701.70346368715,2639781.95849162,7.369,1.9972820117848622,0.15639929312418765
Zone_DH120,400,0.42571783168439203,231661.48,2641818.83,7.463,2.0099574781492504,0.26017631550494
Zone_DH121,358,0.13830212364274874,231757.56938547487,2643763.2434078213,6.169,1.8195367502275015,-0.011681741583987826
Zone_DH122,272,0.14306577930341957,231733.17117647058,2645787.58,3.688,1.3050843056943475,0.035113428456288995
Zone_DH123,354,0.12861024546010646,231704.13536723165,2647753.0107909604,2.906,1.0667775651480913,0.04012790257671779
Zone_DH124,293,0.1159233088335205,231769.15918088736,2649712.174709898,2.062,0.7236763855947681,0.0554728322874409
Zone_DH125,64,0.01377786429872325,231605.23,2650992.2675,0.669,-0.4019712188539085,0.04529443733229531
Zone_DH126,133,0.0527092456352914,233685.91609022557,2618455.296165413,0.844,-0.16960278438617998,0.0652409789650501
Zone_DH127,353,0.0583760290687213,233682.01824362605,2619744.750679887,2.862,1.0515206811342592,-0.028859804158371943
Zone_DH128,344,0.1304851172162552,233756.5381395349,2621923.1904651164,6.987,1.9440512795703135,-0.029671766500638436
Zone_DH129,400,0.15543921403915656,233661.48,2623818.83,14.85,2.6979998652487085,-0.0663163677832192
Zone_DH130,400,0.15651887128105704,233661.48,2625818.83,20.475,3.019204629739133,-0.09147960786048417
Zone_DH131,400,0.24528514735406334,233661.48,2627818.83,14.956,2.7051125571148673,0.022948448241592007
Zone_DH132,400,0.1944872922969777,233661.48,2629818.83,11.35,2.4292177439274116,-0.005308398543542647
Zone_DH133,360,0.11539726329292299,233684.81333333332,2631782.996666667,10.319,2.3339868561335773,-0.07661792524417937
Zone_DH134,387,0.1901839764681181,233681.24744186047,2633842.9902067184,13.756,2.62147509257002,-0.025319419914339697
Zone_DH135,400,0.148996902700576,233661.48,2635818.83,14.969,2.7059813959330987,-0.07341078180941871
Zone_DH136,396,0.10684566157491955,233659.20727272728,2637818.0724242427,11.119,2.408655356721112,-0.09127005226728972
