zone_id,n,mixture_ratio,median_excess,mean_score
Zone_DH092,177,0.21468926553672316,-0.12594506999564475,0.27195495521899554
Zone_DH093,322,0.38509316770186336,0.06266640517055666,0.4033849130147001
Zone_DH094,365,0.4575342465753425,0.09878207073782819,0.4103449163578003
Zone_DH095,367,0.782016348773842,0.23138991860911934,0.5333155274781366
Zone_DH096,400,0.5725,0.08513129116320867,0.4364342071779952
Zone_DH097,356,0.6544943820224719,0.17165709273507782,0.46617351540440827
Zone_DH098,373,0.9088471849865952,0.25278858276477195,0.5526732497567343
Zone_DH099,333,0.5585585585585585,0.11671854725825109,0.418491317572197
Zone_DH100,294,0.6360544217687075,0.1559538790710072,0.47821586203472977
Zone_DH101,208,0.25961538461538464,-0.10941696192260014,0.2703525370593296
Zone_DH102,282,0.524822695035461,0.18247984838910322,0.4964890881222449
Zone_DH103,211,0.41232227488151657,0.10712360962259976,0.39491503889684115
Zone_DH104,112,0.14285714285714285,-0.3212449321147888,0.19208450145147854
Zone_DH105,147,0.1292517006802721,-0.3028922739356337,0.16430147446898577
Zone_DH108,174,0.5057471264367817,0.18030870512721875,0.47013284787444
Zone_DH109,334,0.3772455089820359,0.041931194874889,0.3806036040487185
Zone_DH110,279,0.23297491039426524,-0.047864210390717754,0.3052092328429056
Zone_DH111,384,0.6640625,0.1349456437128493,0.4603634904356755
Zone_DH112,394,0.8477157360406091,0.22955972056133384,0.5283648448442567
Zone_DH113,400,0.9275,0.25022998516118383,0.5566919069038636
Zone_DH114,400,0.8925,0.30335868591961845,0.6024640334387645
Zone_DH115,400,0.8575,0.22599018300125093,0.5508839999157447
Zone_DH116,400,0.9725,0.22193460217494376,0.5264458916204036
Zone_DH117,400,0.94,0.2792597110805715,0.5603402754040249
Zone_DH118,400,0.8575,0.27583329235395626,0.5795326787307202
Zone_DH119,358,0.7430167597765364,0.32090520523095134,0.602999834528466
Zone_DH120,400,0.9,0.42571783168439203,0.7023776878709971
Zone_DH121,358,0.5586592178770949,0.13830212364274883,0.4542473059870363
Zone_DH122,272,0.48161764705882354,0.1430657793034196,0.47173447557689974
Zone_DH123,354,0.4830508474576271,0.12861024546010652,0.45599487524395715
Zone_DH124,293,0.4812286689419795,0.11592330883352053,0.3915961195989346
Zone_DH125,64,0.328125,0.013777864298723325,0.3973894563269596
Zone_DH126,133,0.38345864661654133,0.052709245635291446,0.4045818020858386
Zone_DH127,353,0.40509915014164305,0.05837602906872136,0.38806119256504545
Zone_DH128,344,0.5930232558139535,0.13048511721625525,0.43816310421169075
Zone_DH129,400,0.7625,0.1554392140391566,0.4702706706059308
Zone_DH130,400,0.795,0.15651887128105707,0.4767161976806398
Zone_DH131,400,0.835,0.24528514735406337,0.5364825441201282
Zone_DH132,400,0.7575,0.19448729229697773,0.4952891820086858
Zone_DH133,360,0.575,0.11539726329292305,0.44694670970863143
Zone_DH134,387,0.8165374677002584,0.19018397646811813,0.4991562297234136
Zone_DH135,400,0.6475,0.148996902700576,0.46135400086866213
Zone_DH136,396,0.553030303030303,0.10684566157491959,0.4407740360672163
Zone_DH137,383,0.4177545691906005,0.08319674721526904,0.3873094274881779
Zone_DH138,389,0.7095115681233933,0.18727369461352672,0.51780419513519
Zone_DH139,396,0.8181818181818182,0.21885170867576217,0.5245098600068105
Zone_DH140,392,0.6045918367346939,0.1821655931858757,0.4938333290657255
Zone_DH141,397,0.7481108312342569,0.24362255889183404,0.5599716105688511
Zone_DH142,398,0.7864321608040201,0.24033972687215632,0.547232362788312
Zone_DH143,83,0.6746987951807228,0.18787111036738469,0.5196272837366009
Zone_DH144,150,0.58,0.19032718555802505,0.4945631248371116
Zone_DH145,375,0.408,0.0586813008749425,0.38323715766314337
Zone_DH146,391,0.7161125319693095,0.19730807528534888,0.519854602231172
Zone_DH147,389,0.7583547557840618,0.15594450351482347,0.47937966614420296
Zone_DH148,400,0.9125,0.22587631359834426,0.5240961325701041
Zone_DH149,400,0.785,0.18260501844379226,0.4902609267395968
Zone_DH150,400,0.71,0.15322250598884618,0.4802981947600219
Zone_DH151,399,0.8320802005012531,0.23275719979638648,0.5273734452282852
Zone_DH152,400,0.87,0.3460847929148409,0.6145090665345273
Zone_DH153,400,0.4975,0.08242718994814344,0.414225330069371
Zone_DH154,276,0.38405797101449274,0.053490628269973,0.38525107330539016
Zone_DH155,240,0.4125,0.04140136344168435,0.35448631704714956
Zone_DH156,397,0.9168765743073047,0.3556998720159851,0.6547436667742484
Zone_DH157,397,0.8236775818639799,0.2448569402134449,0.5513492129771702
Zone_DH158,386,0.6217616580310881,0.19178016680359497,0.5262272952399532
Zone_DH159,347,0.547550432276657,0.13345159031695186,0.4281209506666521
Zone_DH160,362,0.6215469613259669,0.17278032751653358,0.48369265668764044
Zone_DH161,72,0.375,0.03871858554789026,0.38125132807671414
