zone_id,node_count,edge_count,density,transitivity,avg_clustering_coef,avg_degree,n_scc,n_wcc,gscc_pct,gwcc_pct,wcc_fragmentation,orientation_entropy,path_length_p90,path_length_p90_norm,mean_in_degree_centrality,mean_out_degree_centrality,hub_dominance_ratio,mean_closeness_centrality,mean_betweenness_centrality,betweenness_gini,mean_katz_centrality,mean_pagerank,mean_local_clustering,mean_strength_norm,global_efficiency,local_efficiency
Zone_DH612,872,2096,0.00276,0.0268,0.0244,4.8073,27,15,88.65,93.81,0.0172,3.5976,34.0,1.1514,0.003,0.003,1.6319,0.04701,0.023447,0.7053,0.034805,0.001222,0.0196,0.003,0.074496,0.01956
Zone_DH613,741,1714,0.003126,0.043,0.0346,4.6262,31,8,94.47,98.25,0.0108,3.663,32.0,1.1755,0.003216,0.003216,1.7109,0.047127,0.026871,0.7289,0.036871,0.001374,0.0352,0.0032,0.077738,0.035508
Zone_DH614,669,1528,0.003419,0.0519,0.0396,4.568,52,12,81.46,97.46,0.0179,3.6376,36.0,1.3918,0.003572,0.003572,1.7203,0.040334,0.02713,0.7452,0.038947,0.001534,0.0406,0.0036,0.078609,0.041155
Zone_DH615,499,1182,0.004757,0.0634,0.0548,4.7375,50,12,79.56,95.59,0.024,3.7516,32.0,1.4325,0.005074,0.005074,1.6562,0.043599,0.034617,0.7723,0.045512,0.002096,0.0531,0.0051,0.088467,0.053809
Zone_DH616,421,1007,0.005695,0.0387,0.0317,4.7838,22,7,63.42,98.1,0.0166,3.7743,28.0,1.3646,0.005895,0.005895,1.6471,0.049413,0.028461,0.7025,0.048917,0.002421,0.0323,0.0059,0.09598,0.032284
Zone_DH617,491,1081,0.004493,0.0469,0.0384,4.4033,19,4,82.08,98.37,0.0081,3.9505,29.0,1.3088,0.0046,0.0046,1.8039,0.050902,0.030162,0.6791,0.045285,0.00207,0.039,0.0046,0.087026,0.038992
Zone_DH618,717,1653,0.00322,0.0318,0.0232,4.6109,23,10,87.03,98.74,0.0139,3.8917,35.0,1.3071,0.003302,0.003302,1.7132,0.046949,0.024733,0.693,0.037397,0.001412,0.0235,0.0033,0.07404,0.02354
Zone_DH619,777,1842,0.003055,0.0318,0.0238,4.7413,11,9,96.27,98.46,0.0116,3.6269,29.0,1.0404,0.003138,0.003138,1.6685,0.05365,0.023349,0.6929,0.03597,0.001307,0.0242,0.0031,0.073783,0.024183
Zone_DH620,793,1839,0.002928,0.0361,0.024,4.6381,15,14,85.12,86.38,0.0177,3.5998,27.0,0.9588,0.003387,0.003387,1.7265,0.058166,0.023057,0.7025,0.038007,0.00146,0.0221,0.0034,0.078208,0.022141
Zone_DH621,692,1683,0.00352,0.0429,0.0318,4.8642,15,13,49.57,49.57,0.0188,3.708,26.0,0.9884,0.007655,0.007655,1.5278,0.070732,0.042114,0.7139,0.053779,0.002915,0.036,0.0076,0.10315,0.035957
